season,zone,pct,for_p96,for_pSzn,against_p96,against_pSzn,net_p96,net_pSzn,trans_net_p96,trans_net_pSzn
2021,1,0.01,0.007541966004769806,0.26558400000000004,0.011964547523764971,0.420448,-0.023619519876560677,-0.8306019999999998,0.013446178081353012,0.4743839999999999
2021,1,0.02,0.007828580146736534,0.27556800000000004,0.01202986382340221,0.421696,-0.02021007913719005,-0.7104039999999998,0.013732792223319742,0.4843679999999999
2021,1,0.03,0.008115194288703264,0.28555200000000003,0.012095180123039445,0.422944,-0.016800638397819423,-0.5902059999999999,0.01401940636528647,0.4943519999999999
2021,1,0.04,0.008381956199413603,0.29492,0.012168251544654144,0.42469999999999997,-0.013858218372685893,-0.48662799999999995,0.014286168275996809,0.50372
2021,1,0.05,0.008539530838213804,0.3009,0.012283976137144884,0.42924999999999996,-0.013484412275856375,-0.47446,0.01444374291479701,0.5096999999999999
2021,1,0.060000000000000005,0.008697105477014005,0.30688000000000004,0.012399700729635626,0.43379999999999996,-0.013110606179026856,-0.46229200000000004,0.01460131755359721,0.5156799999999999
2021,1,0.06999999999999999,0.008854680115814204,0.31285999999999997,0.012515425322126366,0.43834999999999996,-0.012736800082197339,-0.45012400000000014,0.01475889219239741,0.5216599999999999
2021,1,0.08,0.008989828274255648,0.31772799999999995,0.01267991316106456,0.444628,-0.012476906148725425,-0.4415000000000002,0.014894040350838854,0.5265279999999999
2021,1,0.09,0.00907451685188989,0.320094,0.012954118304509526,0.4547939999999999,-0.012473314582808124,-0.4408500000000001,0.014978728928473094,0.528894
2021,1,0.09999999999999999,0.00915920542952413,0.32245999999999997,0.013228323447954491,0.46495999999999993,-0.01246972301689082,-0.44020000000000004,0.015063417506107336,0.53126
2021,1,0.11,0.009243894007158372,0.32482599999999995,0.013502528591399457,0.47512599999999994,-0.012466131450973519,-0.43955,0.015148106083741578,0.5336259999999999
2021,1,0.12,0.009727540489465263,0.34173599999999993,0.013692113470364146,0.481884,-0.012268256297469287,-0.432096,0.01563175256604847,0.550536
2021,1,0.13,0.01067663786055691,0.375614,0.013782974707435178,0.48466599999999993,-0.01184371695844697,-0.416704,0.016580849937140117,0.584414
2021,1,0.14,0.01162573523164856,0.4094920000000001,0.01387383594450621,0.487448,-0.011419177619424651,-0.401312,0.017529947308231764,0.6182920000000001
2021,1,0.15000000000000002,0.012574832602740208,0.44337000000000004,0.013964697181577243,0.49022999999999994,-0.010994638280402334,-0.38592,0.018479044679323414,0.65217
2021,1,0.16,0.012975415620773863,0.456864,0.014021326807986045,0.49168399999999995,-0.010250110475859098,-0.359824,0.01887962769735707,0.665664
2021,1,0.17,0.013033177168146275,0.457618,0.01405656167773095,0.4923079999999999,-0.009305589880365287,-0.32703800000000005,0.01893738924472948,0.666418
2021,1,0.18000000000000002,0.013090938715518686,0.458372,0.014091796547475856,0.4929319999999999,-0.008361069284871472,-0.29425199999999985,0.018995150792101893,0.6671719999999999
2021,1,0.19,0.013148700262891097,0.459126,0.014127031417220765,0.4935559999999999,-0.007416548689377666,-0.261466,0.0190529123394743,0.6679259999999999
2021,1,0.2,0.013199668272428917,0.4607,0.01414712856005239,0.49535999999999997,-0.006924885508870796,-0.24404,0.019103880349012125,0.6695
2021,1,0.21000000000000002,0.013248598220616362,0.46252,0.014162684384810033,0.497518,-0.0065690795528600045,-0.23122199999999996,0.01915281029719957,0.6713199999999999
2021,1,0.22,0.013297528168803805,0.46434,0.014178240209567674,0.499676,-0.006213273596849216,-0.21840400000000001,0.01920174024538701,0.67314
2021,1,0.23,0.01334645811699125,0.46616,0.014193796034325315,0.501834,-0.005857467640838425,-0.205586,0.019250670193574456,0.67496
2021,1,0.24000000000000002,0.013353199136722425,0.467164,0.01440556932996192,0.50956,-0.005686367816061808,-0.19989599999999996,0.019257411213305632,0.6759639999999999
2021,1,0.25,0.01335642441241558,0.4681,0.014633694081505104,0.51775,-0.00553066016888804,-0.1948,0.019260636488998784,0.6769
2021,1,0.26,0.013359649688108731,0.469036,0.01486181883304829,0.5259400000000001,-0.005374952521714271,-0.18970399999999998,0.01926386176469194,0.6778359999999999
