team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
0KPqjA456v,3395,1,2021,Dribbling,59,-0.0779,42,0.0076
0KPqjA456v,3395,1,2021,Fouling,9,0.023,6,0.0148
0KPqjA456v,3395,1,2021,Interrupting,151,0.0703,124,0.2788
0KPqjA456v,3395,1,2021,Passing,201,0.301,140,0.204
0KPqjA456v,3395,1,2021,Receiving,131,0.0006,63,-0.0032
19vQ2095K6,3362,1,2021,Dribbling,36,0.0162,62,0.0474
19vQ2095K6,3362,1,2021,Fouling,12,0.0272,3,0.0114
19vQ2095K6,3362,1,2021,Interrupting,131,0.5144,152,0.1825
19vQ2095K6,3362,1,2021,Passing,168,0.429,192,0.3416
19vQ2095K6,3362,1,2021,Receiving,67,0.0031,112,0.0004
9z5k7Yg5A3,3393,1,2021,Dribbling,52,0.1458,46,-0.1012
9z5k7Yg5A3,3393,1,2021,Fouling,8,0.0155,6,0.0216
9z5k7Yg5A3,3393,1,2021,Interrupting,138,0.5797,109,0.5442
9z5k7Yg5A3,3393,1,2021,Passing,147,0.3035,170,0.3332
9z5k7Yg5A3,3393,1,2021,Receiving,66,0.0052,102,0.0038
a2lqR4JMr0,3378,1,2021,Dribbling,52,0.3681,48,-0.0248
a2lqR4JMr0,3378,1,2021,Fouling,4,0.0087,3,0.0072
a2lqR4JMr0,3378,1,2021,Interrupting,126,0.6114,123,0.4004
a2lqR4JMr0,3378,1,2021,Passing,194,0.3797,171,0.3239
a2lqR4JMr0,3378,1,2021,Receiving,95,0.0,89,0.0034
a2lqRX2Mr0,3402,1,2021,Dribbling,46,-0.0325,48,0.0352
a2lqRX2Mr0,3402,1,2021,Fouling,3,0.008,14,0.0401
a2lqRX2Mr0,3402,1,2021,Interrupting,175,0.5043,158,0.5656
a2lqRX2Mr0,3402,1,2021,Passing,159,0.128,222,0.4061
a2lqRX2Mr0,3402,1,2021,Receiving,61,0.0042,113,0.0067
APk5LGOMOW,3382,1,2021,Dribbling,48,0.101,34,-0.0758
APk5LGOMOW,3382,1,2021,Fouling,9,0.0279,4,0.0084
APk5LGOMOW,3382,1,2021,Interrupting,120,-0.0865,117,0.287
APk5LGOMOW,3382,1,2021,Passing,235,0.2159,190,0.1967
APk5LGOMOW,3382,1,2021,Receiving,164,-0.0027,103,0.0029
EKXMeX3Q64,3377,1,2021,Dribbling,46,0.0635,56,-0.0022
EKXMeX3Q64,3377,1,2021,Fouling,6,0.0202,16,0.0435
EKXMeX3Q64,3377,1,2021,Interrupting,134,0.4208,186,0.3897
EKXMeX3Q64,3377,1,2021,Passing,148,0.3391,245,0.4354
EKXMeX3Q64,3377,1,2021,Receiving,71,-0.0084,114,0.0043
eVq3ya6MWO,3386,1,2021,Dribbling,30,-0.0432,59,-0.1286
eVq3ya6MWO,3386,1,2021,Fouling,13,0.0348,9,0.0252
eVq3ya6MWO,3386,1,2021,Interrupting,139,0.2644,172,0.5776
eVq3ya6MWO,3386,1,2021,Passing,123,0.1975,229,0.2304
eVq3ya6MWO,3386,1,2021,Receiving,49,0.0029,132,0.0057
gpMOLwl5zy,3380,1,2021,Dribbling,56,-0.031,47,-0.0594
gpMOLwl5zy,3380,1,2021,Fouling,9,0.0222,1,0.0016
gpMOLwl5zy,3380,1,2021,Interrupting,133,0.842,131,0.3931
gpMOLwl5zy,3380,1,2021,Passing,221,0.3623,163,0.1447
gpMOLwl5zy,3380,1,2021,Receiving,136,0.0083,84,0.0006
jYQJ19EqGR,3374,1,2021,Dribbling,36,-0.0194,43,0.0048
jYQJ19EqGR,3374,1,2021,Fouling,5,0.0101,5,0.0147
jYQJ19EqGR,3374,1,2021,Interrupting,120,0.2886,98,0.4345
jYQJ19EqGR,3374,1,2021,Passing,181,0.3337,164,0.1327
jYQJ19EqGR,3374,1,2021,Receiving,90,0.0017,83,-0.0005
jYQJ8EW5GR,3379,1,2021,Dribbling,44,-0.0164,48,0.0514
jYQJ8EW5GR,3379,1,2021,Fouling,11,0.0341,8,0.0209
jYQJ8EW5GR,3379,1,2021,Interrupting,141,0.1597,108,0.5333
jYQJ8EW5GR,3379,1,2021,Passing,177,0.2916,156,0.3002
jYQJ8EW5GR,3379,1,2021,Receiving,76,0.0009,90,0.0033
kaDQ0wRqEv,3380,1,2021,Dribbling,56,-0.0004,48,0.0793
kaDQ0wRqEv,3380,1,2021,Fouling,6,0.0146,3,0.0072
kaDQ0wRqEv,3380,1,2021,Interrupting,170,0.6206,111,0.5891
kaDQ0wRqEv,3380,1,2021,Passing,193,0.28,158,0.2219
kaDQ0wRqEv,3380,1,2021,Receiving,87,0.0016,96,0.0001
KAqBN0Vqbg,3365,1,2021,Dribbling,67,0.0278,34,0.1105
KAqBN0Vqbg,3365,1,2021,Fouling,8,0.0272,7,0.0218
KAqBN0Vqbg,3365,1,2021,Interrupting,103,0.7065,88,0.2379
KAqBN0Vqbg,3365,1,2021,Passing,228,0.3581,139,0.0709
KAqBN0Vqbg,3365,1,2021,Receiving,164,0.0043,74,0.0004
kRQabn8MKZ,3353,1,2021,Dribbling,52,-0.1257,60,-0.0164
